time,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2.041,sender2,0,0,0,,,,,,
2.041,sender1,0,0,0,0.946,-0.108,9.752,0.129,-0.042,0.003
2.041,sender2,0,0,0,,,,,,
2.041,sender2,0,0,0,,,,,,
2.041,sender1,0,0,0,0.915,-0.108,9.742,0.129,-0.042,0.003
2.041,sender2,0,0,0,,,,,,
2.041,sender1,0,0,0,0.924,-0.086,9.737,0.128,-0.041,0.003
2.050,sender2,0,0,0,,,,,,
2.067,sender1,0,0,0,0.936,-0.096,9.747,0.129,-0.041,0.003
2.397,sender2,0,0,0,,,,,,
2.415,sender1,0,0,0,0.931,-0.079,9.768,0.128,-0.041,0.004
2.716,sender2,0,0,0,,,,,,
2.736,sender1,0,0,0,0.924,-0.098,9.768,0.129,-0.041,0.003
3.049,sender2,0,0,0,,,,,,
3.066,sender1,0,0,0,0.943,-0.084,9.725,0.129,-0.041,0.004
3.395,sender2,0,0,0,,,,,,
3.413,sender1,0,0,0,0.922,-0.108,9.708,0.129,-0.042,0.003
3.715,sender2,0,0,0,,,,,,
3.769,sender1,0,0,0,0.934,-0.105,9.756,0.128,-0.041,0.005
4.061,sender2,0,0,0,,,,,,
4.085,sender1,0,1,0,0.931,-0.105,9.771,0.129,-0.040,0.003
4.394,sender2,0,0,0,,,,,,
4.425,sender1,0,1,0,0.915,-0.098,9.752,0.130,-0.041,0.003
4.522,sender2,0,0,0,,,,,,
4.525,sender1,0,1,0,0.936,-0.113,9.768,0.130,-0.041,0.003
4.648,sender2,0,0,0,,,,,,
4.653,sender1,0,1,0,0.934,-0.084,9.752,0.128,-0.040,0.003
4.763,sender2,0,0,0,,,,,,
4.799,sender1,0,1,0,0.934,-0.103,9.771,0.130,-0.041,0.004
4.900,sender2,0,0,0,,,,,,
4.934,sender1,0,1,0,0.915,-0.069,9.773,0.128,-0.041,0.005
5.015,sender2,0,0,0,,,,,,
5.015,sender1,0,1,0,0.874,-0.117,9.732,0.127,-0.044,0.002
5.148,sender2,0,0,0,,,,,,
5.163,sender1,0,0,0,0.907,-0.103,9.768,0.129,-0.041,0.003
5.266,sender2,0,0,0,,,,,,
5.303,sender1,0,0,0,0.919,-0.113,9.776,0.128,-0.041,0.004
5.402,sender2,0,0,0,,,,,,
5.402,sender1,0,0,0,0.922,-0.079,9.756,0.128,-0.041,0.003
5.513,sender2,0,0,0,,,,,,
5.547,sender1,0,0,0,0.934,-0.093,9.735,0.128,-0.040,0.003
5.650,sender2,0,0,0,,,,,,
5.685,sender1,0,0,0,0.934,-0.110,9.740,0.129,-0.041,0.004
5.766,sender2,0,0,0,,,,,,
5.783,sender1,1,0,0,0.915,-0.098,9.742,0.129,-0.041,0.003
5.905,sender2,0,0,0,,,,,,
5.950,sender1,1,0,0,0.927,-0.101,9.773,0.129,-0.040,0.004
6.016,sender2,0,0,0,,,,,,
6.034,sender1,1,0,0,0.934,-0.108,9.783,0.128,-0.040,0.004
6.146,sender2,0,0,0,,,,,,
6.191,sender1,1,0,0,0.919,-0.101,9.754,0.130,-0.041,0.003
6.283,sender2,0,0,0,,,,,,
6.313,sender1,1,0,0,0.927,-0.108,9.754,0.129,-0.039,0.004
6.407,sender2,0,0,0,,,,,,
6.429,sender1,1,0,0,0.929,-0.079,9.764,0.129,-0.042,0.003
6.698,sender2,0,0,0,,,,,,
6.728,sender1,0,0,0,0.948,-0.096,9.768,0.128,-0.041,0.003
7.044,sender2,0,0,0,,,,,,
7.076,sender1,0,0,0,0.948,-0.065,9.759,0.128,-0.040,0.003
7.383,sender2,0,0,0,,,,,,
7.407,sender1,0,0,0,0.960,-0.115,9.776,0.130,-0.041,0.004
7.711,sender2,0,0,0,,,,,,
7.742,sender1,0,0,0,0.946,-0.079,9.764,0.129,-0.041,0.004
8.049,sender2,0,0,0,,,,,,
8.074,sender1,0,0,1,0.939,-0.093,9.735,0.129,-0.041,0.004
8.373,sender2,0,0,0,,,,,,
8.407,sender1,0,0,1,0.943,-0.101,9.768,0.130,-0.041,0.005
8.705,sender2,0,0,0,,,,,,
8.741,sender1,0,0,1,0.934,-0.091,9.754,0.129,-0.041,0.004
9.046,sender2,0,0,0,,,,,,
9.075,sender1,0,0,0,0.927,-0.093,9.737,0.129,-0.041,0.003
9.381,sender2,0,0,0,,,,,,
9.398,sender1,0,0,0,0.836,-0.103,9.895,0.129,-0.044,0.004
9.709,sender2,0,0,0,,,,,,
9.733,sender1,0,0,0,0.723,-0.105,9.862,0.130,-0.038,0.005
10.042,sender2,0,0,0,,,,,,
10.067,sender1,0,0,0,0.919,-0.101,9.795,0.128,-0.041,0.004
10.375,sender2,0,0,0,,,,,,
10.408,sender1,0,0,0,0.929,-0.096,9.754,0.128,-0.041,0.004
10.709,sender2,0,0,0,,,,,,
10.741,sender1,0,0,0,0.924,-0.098,9.764,0.129,-0.041,0.004
11.048,sender2,0,0,0,,,,,,
11.069,sender1,0,0,0,0.943,-0.093,9.737,0.129,-0.040,0.004
11.382,sender2,0,0,0,,,,,,
11.402,sender1,0,0,0,0.943,-0.093,9.732,0.129,-0.041,0.004
11.636,sender2,0,0,0,,,,,,
11.723,sender1,0,0,0,0.950,-0.089,9.744,0.128,-0.040,0.005
12.052,sender2,0,0,0,,,,,,
12.073,sender1,0,0,0,0.929,-0.089,9.742,0.128,-0.041,0.003
12.379,sender2,0,0,0,,,,,,
12.393,sender1,0,0,0,0.924,-0.127,9.749,0.129,-0.041,0.003
12.709,sender2,0,0,0,,,,,,
12.736,sender1,0,0,0,0.939,-0.084,9.785,0.130,-0.041,0.004
13.045,sender2,0,0,0,,,,,,
13.071,sender1,0,0,0,0.927,-0.110,9.740,0.128,-0.041,0.003
13.375,sender2,0,0,0,,,,,,
13.452,sender1,0,0,0,0.922,-0.093,9.759,0.130,-0.041,0.003
13.710,sender2,0,0,0,,,,,,
13.771,sender1,0,0,0,0.929,-0.098,9.752,0.129,-0.042,0.004
14.044,sender2,0,0,0,,,,,,
14.171,sender1,0,0,0,0.912,-0.101,9.752,0.130,-0.041,0.004
14.372,sender2,0,0,0,,,,,,
14.401,sender1,0,0,0,0.927,-0.110,9.754,0.129,-0.041,0.004
14.497,sender2,0,0,0,,,,,,
14.499,sender1,0,0,0,0.955,-0.089,9.764,0.129,-0.041,0.003
14.624,sender2,0,0,0,,,,,,
14.632,sender1,0,0,0,0.915,-0.101,9.735,0.129,-0.041,0.003
14.749,sender2,0,0,0,,,,,,
14.768,sender1,0,0,0,0.953,-0.079,9.744,0.129,-0.041,0.003
14.874,sender2,0,0,1,,,,,,
14.891,sender1,0,0,0,0.946,-0.093,9.740,0.129,-0.041,0.003
14.999,sender2,0,0,1,,,,,,
15.013,sender1,0,0,0,0.936,-0.086,9.744,0.129,-0.041,0.004
15.125,sender2,0,0,1,,,,,,
15.143,sender1,0,0,0,0.917,-0.096,9.780,0.128,-0.041,0.003
15.251,sender2,0,0,1,,,,,,
15.269,sender1,0,0,0,0.936,-0.089,9.742,0.129,-0.041,0.004
15.366,sender2,0,0,1,,,,,,
15.390,sender1,0,0,0,0.939,-0.101,9.764,0.129,-0.041,0.003
15.499,sender2,0,0,1,,,,,,
15.515,sender1,0,0,0,0.941,-0.108,9.742,0.128,-0.042,0.004
15.627,sender2,0,0,0,,,,,,
15.646,sender1,0,0,0,0.919,-0.086,9.768,0.129,-0.041,0.003
15.749,sender2,0,0,0,,,,,,
15.770,sender1,0,0,0,0.934,-0.079,9.754,0.129,-0.041,0.004
15.880,sender2,0,0,0,,,,,,
15.900,sender1,0,0,0,0.939,-0.108,9.778,0.128,-0.041,0.003
16.000,sender2,0,0,0,,,,,,
16.016,sender1,0,0,0,0.927,-0.089,9.742,0.129,-0.041,0.003
16.130,sender2,0,0,0,,,,,,
16.148,sender1,0,0,0,0.917,-0.084,9.778,0.130,-0.041,0.003
16.248,sender2,0,0,0,,,,,,
16.276,sender1,0,1,0,0.927,-0.093,9.768,0.129,-0.041,0.005
16.381,sender2,0,0,0,,,,,,
16.402,sender1,0,1,0,0.941,-0.091,9.737,0.129,-0.041,0.004
16.515,sender2,0,0,0,,,,,,
16.715,sender2,0,0,0,,,,,,
16.727,sender1,0,1,0,0.912,-0.081,9.735,0.129,-0.041,0.003
17.046,sender2,0,0,0,,,,,,
17.059,sender1,0,0,0,0.943,-0.113,9.759,0.129,-0.040,0.004
