runtime_s,timestamp_us,timestamp_str,ir1,ir2,ir3,ir4,ir5,ir6,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2.032273,636681,0:636:681,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
2.036030,736064,0:736:064,0,0,0,0,0,0,0.958,-0.034,9.732,0.130,-0.041,0.004
2.039609,836050,0:836:050,0,0,0,0,0,0,0.970,-0.007,9.735,0.129,-0.040,0.005
2.041618,936050,0:936:050,0,0,0,0,0,0,0.970,-0.007,9.735,0.129,-0.040,0.005
2.044017,1036067,1:036:067,0,0,0,0,0,0,0.970,-0.007,9.735,0.129,-0.040,0.005
2.047541,1136044,1:136:044,0,0,0,0,0,0,0.984,-0.010,9.708,0.129,-0.041,0.003
2.051165,1236053,1:236:053,0,0,0,0,0,0,0.984,-0.010,9.708,0.129,-0.041,0.003
2.056183,1336053,1:336:053,0,0,0,0,0,0,0.984,-0.010,9.708,0.129,-0.041,0.003
2.061435,1436046,1:436:046,0,0,0,0,0,0,0.984,-0.010,9.708,0.129,-0.041,0.003
2.063534,1536051,1:536:051,0,0,0,0,0,0,0.965,-0.024,9.756,0.128,-0.041,0.004
2.066390,1636053,1:636:053,0,0,0,0,0,0,0.965,-0.024,9.756,0.128,-0.041,0.004
2.069823,1736053,1:736:053,0,0,0,0,0,0,0.960,-0.043,9.747,0.129,-0.041,0.003
2.164723,1836064,1:836:064,0,0,0,0,0,0,0.977,-0.038,9.728,0.129,-0.039,0.005
2.263512,1936034,1:936:034,0,0,0,0,0,0,0.984,-0.031,9.716,0.130,-0.041,0.004
2.363711,2036036,2:036:036,0,0,0,0,0,0,0.984,-0.031,9.716,0.130,-0.041,0.004
2.463155,2136064,2:136:064,0,0,0,0,0,0,0.970,-0.019,9.720,0.128,-0.041,0.004
2.564496,2236050,2:236:050,0,0,0,0,0,0,0.958,-0.041,9.732,0.130,-0.041,0.003
2.663526,2336064,2:336:064,0,0,0,0,0,0,0.946,-0.034,9.704,0.129,-0.041,0.003
2.763376,2436034,2:436:034,0,0,0,0,0,0,0.955,-0.038,9.730,0.129,-0.041,0.003
2.864450,2536044,2:536:044,0,0,0,0,0,0,0.955,-0.038,9.730,0.129,-0.041,0.003
2.963255,2636064,2:636:064,0,0,0,0,0,0,0.970,-0.024,9.742,0.129,-0.041,0.003
3.063213,2736044,2:736:044,0,0,0,0,0,0,0.962,-0.031,9.732,0.129,-0.040,0.003
3.163209,2836043,2:836:043,0,0,0,0,0,0,0.977,-0.024,9.718,0.129,-0.041,0.004
3.263627,2936034,2:936:034,0,0,0,0,0,0,0.972,-0.036,9.718,0.129,-0.041,0.004
3.363692,3036053,3:036:053,0,0,0,0,0,0,0.972,-0.036,9.718,0.129,-0.041,0.004
3.465263,3136064,3:136:064,0,0,0,0,0,0,0.972,-0.029,9.725,0.129,-0.041,0.003
3.563227,3236053,3:236:053,0,0,0,0,0,0,0.967,-0.022,9.730,0.129,-0.041,0.005
3.663389,3336034,3:336:034,0,0,0,0,0,0,0.984,-0.012,9.718,0.129,-0.041,0.004
3.763817,3436034,3:436:034,0,0,0,0,0,0,0.991,-0.005,9.692,0.129,-0.041,0.004
3.863000,3536066,3:536:066,0,0,0,0,0,0,0.991,-0.005,9.692,0.129,-0.041,0.004
3.963491,3636053,3:636:053,0,0,0,0,0,0,0.982,-0.057,9.730,0.129,-0.041,0.004
4.062817,3736064,3:736:064,0,0,0,0,0,0,0.982,-0.024,9.754,0.129,-0.041,0.004
4.163344,3836034,3:836:034,0,0,0,0,0,0,0.970,-0.019,9.701,0.129,-0.041,0.004
4.263415,3936044,3:936:044,0,0,0,0,0,0,0.970,-0.043,9.699,0.130,-0.040,0.003
4.363337,4036056,4:036:056,0,0,0,0,0,0,0.970,-0.043,9.699,0.130,-0.040,0.003
4.463577,4136036,4:136:036,0,0,0,0,1,0,0.982,-0.026,9.706,0.128,-0.041,0.003
4.564350,4236050,4:236:050,0,0,0,0,1,0,0.982,-0.026,9.706,0.128,-0.041,0.003
4.663236,4336255,4:336:255,0,0,0,0,1,0,0.982,-0.026,9.706,0.128,-0.041,0.003
4.763222,4436037,4:436:037,0,0,0,0,1,0,0.984,-0.017,9.725,0.129,-0.041,0.003
4.863176,4536067,4:536:067,0,0,0,0,1,0,0.984,-0.017,9.725,0.129,-0.041,0.003
5.002475,4636036,4:636:036,0,0,0,0,1,0,0.984,-0.017,9.725,0.129,-0.041,0.003
5.063910,4736629,4:736:629,0,0,0,0,1,0,0.984,-0.017,9.725,0.129,-0.041,0.003
5.163389,4836070,4:836:070,0,0,0,0,1,0,0.974,-0.022,9.732,0.129,-0.041,0.005
5.263180,4936064,4:936:064,0,0,0,0,0,0,0.974,-0.022,9.732,0.129,-0.041,0.005
5.365361,5036609,5:036:609,0,0,0,0,0,0,0.974,-0.022,9.732,0.129,-0.041,0.005
5.463165,5136036,5:136:036,0,0,0,0,0,0,0.974,-0.022,9.732,0.129,-0.041,0.005
5.563272,5236050,5:236:050,0,0,0,0,0,0,0.989,-0.034,9.740,0.129,-0.040,0.004
5.663125,5336034,5:336:034,0,0,0,0,0,0,0.989,-0.034,9.740,0.129,-0.040,0.004
5.763827,5436063,5:436:063,0,0,0,0,0,0,0.989,-0.034,9.740,0.129,-0.040,0.004
5.863156,5536067,5:536:067,0,0,0,0,0,0,0.989,-0.034,9.740,0.129,-0.040,0.004
5.964132,5636063,5:636:063,0,0,0,0,0,0,0.998,-0.043,9.735,0.130,-0.041,0.003
6.062888,5736067,5:736:067,0,0,0,0,0,0,0.998,-0.043,9.735,0.130,-0.041,0.003
6.162526,5836037,5:836:037,0,0,0,0,0,0,0.998,-0.043,9.735,0.130,-0.041,0.003
6.265205,5936055,5:936:055,0,0,0,0,0,0,0.998,-0.043,9.735,0.130,-0.041,0.003
6.363194,6036060,6:036:060,0,0,0,0,0,0,0.974,-0.031,9.740,0.129,-0.041,0.005
6.468418,6136036,6:136:036,0,0,0,0,0,1,0.974,-0.031,9.740,0.129,-0.041,0.005
6.564454,6236051,6:236:051,0,0,0,0,0,1,0.974,-0.031,9.740,0.129,-0.041,0.005
